  ,COMMESSA,ORE
  ,"          SALD  "" SALDATURA""",4.87
  ,"     25/709  ""KONE SPA""",48.61
  ,"          IMBA  "" IMBALLAGGIO""",9.11
  ,"          NEST  "" TAGLIO / NESTING""",5.07
  ,"          PIEG  "" PIEGATURA""",16.93
  ,"          PROD  "" PRODUZIONE""",1.12
  ,"          PROG  "" PROGETTAZIONE""",5.4
  ,"          SALD  "" SALDATURA""",10.98
  ,"     25/710  ""BULGHERINI MC""",3.18
  ,"          IMBA  "" IMBALLAGGIO""",2.61
  ,"          PROG  "" PROGETTAZIONE""",0.57
  ,"     25/711  ""ARE SRL""",0.32
  ,"          IMBA  "" IMBALLAGGIO""",0.32
  ,"     25/712  ""CENTER LIFT SRL""",3.78
  ,"          IMBA  "" IMBALLAGGIO""",0.45
  ,"          PROG  "" PROGETTAZIONE""",3.33
  ,"     25/714  ""CONDOMINIO RESIA 74""",83.41
  ,"          IMBA  "" IMBALLAGGIO""",11.38
  ,"          NEST  "" TAGLIO / NESTING""",2.02
  ,"          PIEG  "" PIEGATURA""",17.3
  ,"          PROD  "" PRODUZIONE""",1.19
  ,"          PROG  "" PROGETTAZIONE""",43.15
  ,"          SALD  "" SALDATURA""",8.37
  ,"     25/715  ""BMP SRL""",62.34
  ,"          IMBA  "" IMBALLAGGIO""",8.25
  ,"          NEST  "" TAGLIO / NESTING""",6.26
  ,"          PIEG  "" PIEGATURA""",17.94
  ,"          PROG  "" PROGETTAZIONE""",17.19
  ,"          SALD  "" SALDATURA""",12.7
  ,"     25/716  ""DB ELEV SRL""",76.75
  ,"          IMBA  "" IMBALLAGGIO""",19.01
  ,"          NEST  "" TAGLIO / NESTING""",10.86
  ,"          PIEG  "" PIEGATURA""",14.44
  ,"          PROD  "" PRODUZIONE""",0.43
  ,"          PROG  "" PROGETTAZIONE""",24.1
  ,"          SALD  "" SALDATURA""",7.91
  ,"     25/717  ""MSM SRL""",39.19
  ,"          IMBA  "" IMBALLAGGIO""",8.22
  ,"          NEST  "" TAGLIO / NESTING""",3.42
  ,"          PIEG  "" PIEGATURA""",7.53
  ,"          PROD  "" PRODUZIONE""",0.71
  ,"          PROG  "" PROGETTAZIONE""",12.37
  ,"          SALD  "" SALDATURA""",6.94
  ,"     25/718  ""MSM SRL""",43.19
  ,"          IMBA  "" IMBALLAGGIO""",11.97
  ,"          NEST  "" TAGLIO / NESTING""",1.98
  ,"          PIEG  "" PIEGATURA""",11.83
  ,"          PROD  "" PRODUZIONE""",1.01
  ,"          PROG  "" PROGETTAZIONE""",6.61
  ,"          SALD  "" SALDATURA""",9.79
  ,"     25/719  ""MSM SRL""",61.23
  ,"          IMBA  "" IMBALLAGGIO""",19.14
  ,"          NEST  "" TAGLIO / NESTING""",3.35
  ,"          PIEG  "" PIEGATURA""",17.99
  ,"          PROD  "" PRODUZIONE""",1.23
  ,"          PROG  "" PROGETTAZIONE""",10.96
  ,"          SALD  "" SALDATURA""",8.56
  ,"     25/720  ""RIAM ASCENSORI SRL""",38.8
  ,"          IMBA  "" IMBALLAGGIO""",6.43
  ,"          NEST  "" TAGLIO / NESTING""",1.84
  ,"          PIEG  "" PIEGATURA""",10.88
  ,"          PROD  "" PRODUZIONE""",1.05
  ,"          PROG  "" PROGETTAZIONE""",13.2
  ,"          SALD  "" SALDATURA""",5.4
  ,"     25/723  ""ARE SRL""",67.16
  ,"          IMBA  "" IMBALLAGGIO""",13.7
  ,"          NEST  "" TAGLIO / NESTING""",9.26
  ,"          PIEG  "" PIEGATURA""",15.84
  ,"          PROG  "" PROGETTAZIONE""",20.57
  ,"          SALD  "" SALDATURA""",7.79
  ,"     25/724  ""ARE SRL""",53.19
  ,"          IMBA  "" IMBALLAGGIO""",5.95
  ,"          NEST  "" TAGLIO / NESTING""",3.3
  ,"          PIEG  "" PIEGATURA""",16.7
  ,"          PROG  "" PROGETTAZIONE""",19.26
  ,"          SALD  "" SALDATURA""",7.98
  ,"     25/725  ""ARE SRL""",47.61
  ,"          IMBA  "" IMBALLAGGIO""",7.65
  ,"          NEST  "" TAGLIO / NESTING""",13.87
  ,"          PIEG  "" PIEGATURA""",7.43
  ,"          PROD  "" PRODUZIONE""",1.16
  ,"          PROG  "" PROGETTAZIONE""",12.61
  ,"          SALD  "" SALDATURA""",4.89
  ,"     25/726  ""ARE SRL""",47.92
  ,"          IMBA  "" IMBALLAGGIO""",7.54
  ,"          NEST  "" TAGLIO / NESTING""",4.08
  ,"          PIEG  "" PIEGATURA""",14.85
  ,"          PROG  "" PROGETTAZIONE""",12.2
  ,"          SALD  "" SALDATURA""",9.25
  ,"     25/727  ""ARE SRL""",49.39
  ,"          IMBA  "" IMBALLAGGIO""",5.74
  ,"          NEST  "" TAGLIO / NESTING""",3.68
  ,"          PIEG  "" PIEGATURA""",15.77
  ,"          PROG  "" PROGETTAZIONE""",16.46
  ,"          SALD  "" SALDATURA""",7.74
  ,"     25/728  ""ARE SRL""",58.51
  ,"          IMBA  "" IMBALLAGGIO""",12.35
  ,"          NEST  "" TAGLIO / NESTING""",8.39
  ,"          PIEG  "" PIEGATURA""",12.03
  ,"          PROG  "" PROGETTAZIONE""",16.52
  ,"          SALD  "" SALDATURA""",9.22
  ,"     25/729  ""UPDINAMIC SRL""",81.02
  ,"          IMBA  "" IMBALLAGGIO""",11.24
  ,"          NEST  "" TAGLIO / NESTING""",11.33
  ,"          PIEG  "" PIEGATURA""",15.35
  ,"          PROD  "" PRODUZIONE""",0.44
  ,"          PROG  "" PROGETTAZIONE""",21.11
  ,"          SALD  "" SALDATURA""",21.55
  ,"     25/730  ""CARRARO ASCENSORI SRL""",51.41
  ,"          IMBA  "" IMBALLAGGIO""",5.71
  ,"          NEST  "" TAGLIO / NESTING""",3.35
  ,"          PIEG  "" PIEGATURA""",15.4
  ,"          PROD  "" PRODUZIONE""",0.4
  ,"          PROG  "" PROGETTAZIONE""",20.45
  ,"          SALD  "" SALDATURA""",6.1
  ,"     25/731  ""CARRARO ASCENSORI SRL""",37.67
  ,"          IMBA  "" IMBALLAGGIO""",6.95
  ,"          NEST  "" TAGLIO / NESTING""",2.02
  ,"          PIEG  "" PIEGATURA""",9.19
  ,"          PROD  "" PRODUZIONE""",1.1
  ,"          PROG  "" PROGETTAZIONE""",13.38
  ,"          SALD  "" SALDATURA""",5.03
  ,"     25/734  ""BULGHERINI PU""",5.17
  ,"          IMBA  "" IMBALLAGGIO""",0.95
  ,"          NEST  "" TAGLIO / NESTING""",1.24
  ,"          PIEG  "" PIEGATURA""",2.55
  ,"          PROG  "" PROGETTAZIONE""",0.43
  ,"     25/735  ""SCHINDLER SPA""",1.92
  ,"          NEST  "" TAGLIO / NESTING""",1.02
  ,"          PIEG  "" PIEGATURA""",0.4
  ,"          PROG  "" PROGETTAZIONE""",0.5
  ,"     25/736  ""ALBERI ASCENSORI SRL""",49.79
  ,"          IMBA  "" IMBALLAGGIO""",7.52
  ,"          NEST  "" TAGLIO / NESTING""",5.58
  ,"          PIEG  "" PIEGATURA""",9.39
  ,"          PROD  "" PRODUZIONE""",0.81
  ,"          PROG  "" PROGETTAZIONE""",18.06
  ,"          SALD  "" SALDATURA""",8.43
  ,"     25/737  ""SELE LIFT SRL""",34.09
  ,"          IMBA  "" IMBALLAGGIO""",4.7
  ,"          NEST  "" TAGLIO / NESTING""",3.88
  ,"          PIEG  "" PIEGATURA""",13.83
  ,"          PROG  "" PROGETTAZIONE""",6.03
  ,"          SALD  "" SALDATURA""",5.65
  ,"     25/738  ""SELE LIFT SRL""",57.58
  ,"          IMBA  "" IMBALLAGGIO""",7.23
  ,"          NEST  "" TAGLIO / NESTING""",8.48
  ,"          PIEG  "" PIEGATURA""",11.84
  ,"          PROD  "" PRODUZIONE""",0.98
  ,"          PROG  "" PROGETTAZIONE""",21.51
  ,"          SALD  "" SALDATURA""",7.54
  ,"     25/740  ""RABENSTEINER BAU SRL""",46.64
  ,"          IMBA  "" IMBALLAGGIO""",6.57
  ,"          NEST  "" TAGLIO / NESTING""",2.02
  ,"          PIEG  "" PIEGATURA""",9.69
  ,"          PROD  "" PRODUZIONE""",0.93
  ,"          PROG  "" PROGETTAZIONE""",23.56
  ,"          SALD  "" SALDATURA""",3.87
  ,"     25/741  ""PETRARCA SRL""",45.64
  ,"          IMBA  "" IMBALLAGGIO""",2.15
  ,"          NEST  "" TAGLIO / NESTING""",7.1
  ,"          PIEG  "" PIEGATURA""",6.78
  ,"          PROG  "" PROGETTAZIONE""",16.31
  ,"          SALD  "" SALDATURA""",13.3
  ,"     25/742  ""USAPI SRL""",74.92
  ,"          IMBA  "" IMBALLAGGIO""",11.3
  ,"          NEST  "" TAGLIO / NESTING""",3.7
  ,"          PIEG  "" PIEGATURA""",19.54
  ,"          PROD  "" PRODUZIONE""",0.35
  ,"          PROG  "" PROGETTAZIONE""",29.13
  ,"          SALD  "" SALDATURA""",10.9
  ,"     25/744  ""FEREGOTTO ELEVATORI SRL""",21.34
  ,"          IMBA  "" IMBALLAGGIO""",1.2
  ,"          NEST  "" TAGLIO / NESTING""",4.17
  ,"          PIEG  "" PIEGATURA""",4.77
  ,"          PROD  "" PRODUZIONE""",0.57
  ,"          PROG  "" PROGETTAZIONE""",7.91
  ,"          SALD  "" SALDATURA""",2.72
  ,"     25/745  ""MBB ASCENSORI SRL""",159.34
  ,"          IMBA  "" IMBALLAGGIO""",35.31
  ,"          NEST  "" TAGLIO / NESTING""",7.97
  ,"          PIEG  "" PIEGATURA""",47.89
  ,"          PROD  "" PRODUZIONE""",4.41
  ,"          PROG  "" PROGETTAZIONE""",45.55
  ,"          SALD  "" SALDATURA""",18.21
  ,"     25/746  ""SCHINDLER SPA""",8.63
  ,"          IMBA  "" IMBALLAGGIO""",0.25
  ,"          NEST  "" TAGLIO / NESTING""",1.02
  ,"          PIEG  "" PIEGATURA""",2.41
  ,"          PROG  "" PROGETTAZIONE""",0.38
  ,"          SALD  "" SALDATURA""",4.57
  ,"     25/747  ""ARE SRL""",0.97
  ,"          IMBA  "" IMBALLAGGIO""",0.25
  ,"          PIEG  "" PIEGATURA""",0.72
  ,"     25/748  ""DFV SRL""",3.82
  ,"          PIEG  "" PIEGATURA""",3.62
  ,"          PROD  "" PRODUZIONE""",0.2
  ,"     25/749  ""ARE SRL""",1.57
  ,"          IMBA  "" IMBALLAGGIO""",0.25
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",0.32
  ,"     25/750  ""ARE SRL""",1.84
  ,"          IMBA  "" IMBALLAGGIO""",0.2
  ,"          NEST  "" TAGLIO / NESTING""",1.02
  ,"          PIEG  "" PIEGATURA""",0.62
  ,"     25/751  ""ARE SRL""",45.53
  ,"          IMBA  "" IMBALLAGGIO""",8.61
  ,"          NEST  "" TAGLIO / NESTING""",3.86
  ,"          PIEG  "" PIEGATURA""",12.73
  ,"          PROG  "" PROGETTAZIONE""",14.1
  ,"          SALD  "" SALDATURA""",6.23
  ,"     25/752  ""ARE SRL""",46.76
  ,"          IMBA  "" IMBALLAGGIO""",7.33
  ,"          NEST  "" TAGLIO / NESTING""",8.21
  ,"          PIEG  "" PIEGATURA""",6.44
  ,"          PROD  "" PRODUZIONE""",0.4
  ,"          PROG  "" PROGETTAZIONE""",20.05
  ,"          SALD  "" SALDATURA""",4.33
  ,"     25/753  ""ARE SRL""",37.7
  ,"          IMBA  "" IMBALLAGGIO""",6.87
  ,"          NEST  "" TAGLIO / NESTING""",5.58
  ,"          PIEG  "" PIEGATURA""",9.39
  ,"          PROG  "" PROGETTAZIONE""",10.48
  ,"          SALD  "" SALDATURA""",5.38
  ,"     25/754  ""ARE SRL""",49.27
  ,"          IMBA  "" IMBALLAGGIO""",5.61
  ,"          NEST  "" TAGLIO / NESTING""",7.93
  ,"          PIEG  "" PIEGATURA""",7.61
  ,"          PROD  "" PRODUZIONE""",0.59
  ,"          PROG  "" PROGETTAZIONE""",20.25
  ,"          SALD  "" SALDATURA""",7.28
  ,"     25/755  ""ARE SRL""",40.54
  ,"          IMBA  "" IMBALLAGGIO""",4.5
  ,"          NEST  "" TAGLIO / NESTING""",6.03
  ,"          PIEG  "" PIEGATURA""",8.91
  ,"          PROD  "" PRODUZIONE""",0.1
  ,"          PROG  "" PROGETTAZIONE""",17.47
  ,"          SALD  "" SALDATURA""",3.53
  ,"     25/756  ""ARE SRL""",64.08
  ,"          IMBA  "" IMBALLAGGIO""",9.03
  ,"          NEST  "" TAGLIO / NESTING""",9.98
  ,"          PIEG  "" PIEGATURA""",22.81
  ,"          PROG  "" PROGETTAZIONE""",13.53
  ,"          SALD  "" SALDATURA""",8.73
  ,"     25/757  ""ARE SRL""",38.63
  ,"          IMBA  "" IMBALLAGGIO""",6.54
  ,"          NEST  "" TAGLIO / NESTING""",3.43
  ,"          PIEG  "" PIEGATURA""",8.66
  ,"          PROD  "" PRODUZIONE""",0.83
  ,"          PROG  "" PROGETTAZIONE""",14.16
  ,"          SALD  "" SALDATURA""",5.01
  ,"     25/758  ""ARE SRL""",50.35
  ,"          IMBA  "" IMBALLAGGIO""",12.9
  ,"          NEST  "" TAGLIO / NESTING""",2.49
  ,"          PIEG  "" PIEGATURA""",13.54
  ,"          PROD  "" PRODUZIONE""",2.82
  ,"          PROG  "" PROGETTAZIONE""",8.13
  ,"          SALD  "" SALDATURA""",10.47
  ,"     25/759  ""RIAM ASCENSORI SRL""",0.03
  ,"          IMBA  "" IMBALLAGGIO""",0.03
  ,"     25/761  ""SCHINDLER SPA""",2.78
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",1.28
  ,"          PROG  "" PROGETTAZIONE""",0.5
  ,"     25/762  ""SCHINDLER SPA""",3.62
  ,"          NEST  "" TAGLIO / NESTING""",1.52
  ,"          PIEG  "" PIEGATURA""",2.1
  ,"     25/763  ""FAMA SRL""",54.49
  ,"          IMBA  "" IMBALLAGGIO""",14.89
  ,"          NEST  "" TAGLIO / NESTING""",4.44
  ,"          PIEG  "" PIEGATURA""",16.43
  ,"          PROD  "" PRODUZIONE""",0.25
  ,"          PROG  "" PROGETTAZIONE""",6.0
  ,"          SALD  "" SALDATURA""",12.48
  ,"     25/764  ""BAVARIA LIFTTECHNIK GMBH""",42.16
  ,"          IMBA  "" IMBALLAGGIO""",5.65
  ,"          NEST  "" TAGLIO / NESTING""",1.8
  ,"          PIEG  "" PIEGATURA""",9.59
  ,"          PROD  "" PRODUZIONE""",1.82
  ,"          PROG  "" PROGETTAZIONE""",18.67
  ,"          SALD  "" SALDATURA""",4.63
  ,"     25/765  ""FALCO ASCENSORI SRL""",37.84
  ,"          IMBA  "" IMBALLAGGIO""",11.21
  ,"          NEST  "" TAGLIO / NESTING""",2.74
  ,"          PIEG  "" PIEGATURA""",9.42
  ,"          PROD  "" PRODUZIONE""",0.61
  ,"          PROG  "" PROGETTAZIONE""",10.6
  ,"          SALD  "" SALDATURA""",3.26
  ,"     25/768  ""PAPILLO ASCENSORI SRL""",38.48
  ,"          IMBA  "" IMBALLAGGIO""",7.28
  ,"          NEST  "" TAGLIO / NESTING""",4.25
  ,"          PIEG  "" PIEGATURA""",9.01
  ,"          PROD  "" PRODUZIONE""",0.83
  ,"          PROG  "" PROGETTAZIONE""",8.54
  ,"          SALD  "" SALDATURA""",8.57
  ,"     25/769  ""ARE SRL""",26.01
  ,"          IMBA  "" IMBALLAGGIO""",4.01
  ,"          NEST  "" TAGLIO / NESTING""",2.05
  ,"          PIEG  "" PIEGATURA""",11.81
  ,"          PROG  "" PROGETTAZIONE""",1.0
  ,"          SALD  "" SALDATURA""",7.14
  ,"     25/772  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",0.03
  ,"          IMBA  "" IMBALLAGGIO""",0.03
  ,"     25/774  ""GRUPPO OCMA SRL""",22.93
  ,"          IMBA  "" IMBALLAGGIO""",3.14
  ,"          NEST  "" TAGLIO / NESTING""",3.1
  ,"          PIEG  "" PIEGATURA""",4.38
  ,"          PROD  "" PRODUZIONE""",0.41
  ,"          PROG  "" PROGETTAZIONE""",9.9
  ,"          SALD  "" SALDATURA""",2.0
  ,"     25/775  ""SOITAAB IMPIANTI SRL""",71.85
  ,"          IMBA  "" IMBALLAGGIO""",16.02
  ,"          NEST  "" TAGLIO / NESTING""",3.23
  ,"          PIEG  "" PIEGATURA""",14.12
  ,"          PROD  "" PRODUZIONE""",1.38
  ,"          PROG  "" PROGETTAZIONE""",31.5
  ,"          SALD  "" SALDATURA""",5.6
  ,"     25/776  ""ARE SRL""",75.2
  ,"          IMBA  "" IMBALLAGGIO""",9.65
  ,"          NEST  "" TAGLIO / NESTING""",5.61
  ,"          PIEG  "" PIEGATURA""",7.97
  ,"          PROD  "" PRODUZIONE""",1.13
  ,"          PROG  "" PROGETTAZIONE""",40.49
  ,"          SALD  "" SALDATURA""",10.35
  ,"     25/777  ""ARE SRL""",80.2
  ,"          IMBA  "" IMBALLAGGIO""",9.7
  ,"          NEST  "" TAGLIO / NESTING""",7.65
  ,"          PIEG  "" PIEGATURA""",10.78
  ,"          PROD  "" PRODUZIONE""",0.4
  ,"          PROG  "" PROGETTAZIONE""",39.69
  ,"          SALD  "" SALDATURA""",11.98
  ,"     25/778  ""ARE SRL""",35.79
  ,"          IMBA  "" IMBALLAGGIO""",6.97
  ,"          NEST  "" TAGLIO / NESTING""",3.0
  ,"          PIEG  "" PIEGATURA""",5.0
  ,"          PROD  "" PRODUZIONE""",1.63
  ,"          PROG  "" PROGETTAZIONE""",12.52
  ,"          SALD  "" SALDATURA""",6.67
  ,"     25/779  ""RIAM ASCENSORI SRL""",0.6
  ,"          IMBA  "" IMBALLAGGIO""",0.6
  ,"     25/780  ""ARE SRL""",45.96
  ,"          IMBA  "" IMBALLAGGIO""",10.36
  ,"          NEST  "" TAGLIO / NESTING""",6.2
  ,"          PIEG  "" PIEGATURA""",13.1
  ,"          PROD  "" PRODUZIONE""",0.79
  ,"          PROG  "" PROGETTAZIONE""",12.15
  ,"          SALD  "" SALDATURA""",3.36
  ,"     25/781  ""VENETA21 SRL""",50.8
  ,"          IMBA  "" IMBALLAGGIO""",8.81
  ,"          NEST  "" TAGLIO / NESTING""",6.5
  ,"          PIEG  "" PIEGATURA""",16.46
  ,"          PROG  "" PROGETTAZIONE""",7.4
  ,"          SALD  "" SALDATURA""",11.63
  ,"     25/782  ""ERIGO SRL""",11.16
  ,"          IMBA  "" IMBALLAGGIO""",2.68
  ,"          PROD  "" PRODUZIONE""",0.31
  ,"          SALD  "" SALDATURA""",8.17
  ,"     25/783  ""ARE SRL""",4.54
  ,"          IMBA  "" IMBALLAGGIO""",0.13
  ,"          PROG  "" PROGETTAZIONE""",4.41
  ,"     25/784  ""ARE SRL""",43.61
  ,"          IMBA  "" IMBALLAGGIO""",8.18
  ,"          NEST  "" TAGLIO / NESTING""",8.26
  ,"          PIEG  "" PIEGATURA""",2.89
  ,"          PROD  "" PRODUZIONE""",0.9
  ,"          PROG  "" PROGETTAZIONE""",20.18
  ,"          SALD  "" SALDATURA""",3.2
  ,"     25/785  ""ARE SRL""",46.34
  ,"          IMBA  "" IMBALLAGGIO""",9.02
  ,"          NEST  "" TAGLIO / NESTING""",8.34
  ,"          PIEG  "" PIEGATURA""",7.54
  ,"          PROD  "" PRODUZIONE""",0.85
  ,"          PROG  "" PROGETTAZIONE""",12.97
  ,"          SALD  "" SALDATURA""",7.62
  ,"     25/786  ""ARE SRL""",39.84
  ,"          IMBA  "" IMBALLAGGIO""",4.17
  ,"          NEST  "" TAGLIO / NESTING""",3.56
  ,"          PIEG  "" PIEGATURA""",7.65
  ,"          PROD  "" PRODUZIONE""",1.12
  ,"          PROG  "" PROGETTAZIONE""",21.31
  ,"          SALD  "" SALDATURA""",2.03
  ,"     25/787  ""ARE SRL""",33.95
  ,"          IMBA  "" IMBALLAGGIO""",6.09
  ,"          NEST  "" TAGLIO / NESTING""",6.17
  ,"          PIEG  "" PIEGATURA""",8.02
  ,"          PROD  "" PRODUZIONE""",0.59
  ,"          PROG  "" PROGETTAZIONE""",8.25
  ,"          SALD  "" SALDATURA""",4.83
  ,"     25/788  ""ARE SRL""",48.4
  ,"          IMBA  "" IMBALLAGGIO""",9.19
  ,"          NEST  "" TAGLIO / NESTING""",4.38
  ,"          PIEG  "" PIEGATURA""",9.64
  ,"          PROD  "" PRODUZIONE""",0.78
  ,"          PROG  "" PROGETTAZIONE""",21.26
  ,"          SALD  "" SALDATURA""",3.15
  ,"     25/789  ""ARE SRL""",45.39
  ,"          IMBA  "" IMBALLAGGIO""",6.72
  ,"          NEST  "" TAGLIO / NESTING""",6.07
  ,"          PIEG  "" PIEGATURA""",10.53
  ,"          PROD  "" PRODUZIONE""",1.05
  ,"          PROG  "" PROGETTAZIONE""",16.77
  ,"          SALD  "" SALDATURA""",4.25
  ,"     25/790  ""ARE SRL""",52.04
  ,"          IMBA  "" IMBALLAGGIO""",9.72
  ,"          NEST  "" TAGLIO / NESTING""",7.34
  ,"          PIEG  "" PIEGATURA""",10.56
  ,"          PROD  "" PRODUZIONE""",1.13
  ,"          PROG  "" PROGETTAZIONE""",16.89
  ,"          SALD  "" SALDATURA""",6.4
  ,"     25/791  ""ARE SRL""",86.71
  ,"          IMBA  "" IMBALLAGGIO""",4.13
  ,"          NEST  "" TAGLIO / NESTING""",12.9
  ,"          PIEG  "" PIEGATURA""",9.13
  ,"          PROD  "" PRODUZIONE""",0.62
  ,"          PROG  "" PROGETTAZIONE""",56.16
  ,"          SALD  "" SALDATURA""",3.77
  ,"     25/792  ""ARE SRL""",5.33
  ,"          IMBA  "" IMBALLAGGIO""",0.87
  ,"          PIEG  "" PIEGATURA""",3.41
  ,"          PROG  "" PROGETTAZIONE""",1.05
  ,"     25/793  ""LUX IMPIANTI DI NICOLAS FABBRI""",56.6
  ,"          IMBA  "" IMBALLAGGIO""",9.95
  ,"          NEST  "" TAGLIO / NESTING""",5.32
  ,"          PIEG  "" PIEGATURA""",14.4
  ,"          PROD  "" PRODUZIONE""",1.75
  ,"          PROG  "" PROGETTAZIONE""",15.84
  ,"          SALD  "" SALDATURA""",9.34
  ,"     25/794  ""VIMA ASCENSORI SRL""",59.73
  ,"          IMBA  "" IMBALLAGGIO""",8.78
  ,"          NEST  "" TAGLIO / NESTING""",4.33
  ,"          PIEG  "" PIEGATURA""",8.28
  ,"          PROD  "" PRODUZIONE""",2.16
  ,"          PROG  "" PROGETTAZIONE""",20.48
  ,"          SALD  "" SALDATURA""",15.7
  ,"     25/796  ""SELE LIFT SRL""",49.11
  ,"          IMBA  "" IMBALLAGGIO""",8.9
  ,"          NEST  "" TAGLIO / NESTING""",2.92
  ,"          PIEG  "" PIEGATURA""",9.34
  ,"          PROD  "" PRODUZIONE""",5.35
  ,"          PROG  "" PROGETTAZIONE""",11.17
  ,"          SALD  "" SALDATURA""",11.43
  ,"     25/797  ""ASCENSORI STASI""",38.62
  ,"          IMBA  "" IMBALLAGGIO""",5.35
  ,"          NEST  "" TAGLIO / NESTING""",0.86
  ,"          PIEG  "" PIEGATURA""",11.07
  ,"          PROD  "" PRODUZIONE""",0.77
  ,"          PROG  "" PROGETTAZIONE""",15.63
  ,"          SALD  "" SALDATURA""",4.94
  ,"     25/798  ""ASCENSORI STASI""",43.3
  ,"          IMBA  "" IMBALLAGGIO""",6.03
  ,"          NEST  "" TAGLIO / NESTING""",4.88
  ,"          PIEG  "" PIEGATURA""",14.87
  ,"          PROD  "" PRODUZIONE""",0.77
  ,"          PROG  "" PROGETTAZIONE""",14.25
  ,"          SALD  "" SALDATURA""",2.5
  ,"     25/800  ""GIANNETTA ASCENSORI SRL""",41.71
  ,"          IMBA  "" IMBALLAGGIO""",10.64
  ,"          NEST  "" TAGLIO / NESTING""",9.06
  ,"          PIEG  "" PIEGATURA""",9.34
  ,"          PROD  "" PRODUZIONE""",0.86
  ,"          PROG  "" PROGETTAZIONE""",5.24
  ,"          SALD  "" SALDATURA""",6.57
  ,"     25/801  ""BULGHERINI MC""",39.07
  ,"          IMBA  "" IMBALLAGGIO""",6.63
  ,"          NEST  "" TAGLIO / NESTING""",4.5
  ,"          PIEG  "" PIEGATURA""",14.93
  ,"          PROD  "" PRODUZIONE""",0.78
  ,"          PROG  "" PROGETTAZIONE""",8.07
  ,"          SALD  "" SALDATURA""",4.16
  ,"     25/802  ""ANGARONE ASCENSORI SRL""",38.8
  ,"          IMBA  "" IMBALLAGGIO""",9.27
  ,"          NEST  "" TAGLIO / NESTING""",5.91
  ,"          PIEG  "" PIEGATURA""",8.7
  ,"          PROD  "" PRODUZIONE""",1.05
  ,"          PROG  "" PROGETTAZIONE""",6.38
  ,"          SALD  "" SALDATURA""",7.49
  ,"     25/805  ""DETTO SRL""",14.94
  ,"          IMBA  "" IMBALLAGGIO""",0.13
  ,"          PIEG  "" PIEGATURA""",1.78
  ,"          PROG  "" PROGETTAZIONE""",2.33
  ,"          SALD  "" SALDATURA""",10.7
  ,"     25/806  ""SCHUMANN AUFZUEGE GMBH""",39.58
  ,"          IMBA  "" IMBALLAGGIO""",7.71
  ,"          NEST  "" TAGLIO / NESTING""",5.79
  ,"          PIEG  "" PIEGATURA""",9.73
  ,"          PROD  "" PRODUZIONE""",0.67
  ,"          PROG  "" PROGETTAZIONE""",8.26
  ,"          SALD  "" SALDATURA""",7.42
  ,"     25/807  ""CEST SRL""",26.75
  ,"          IMBA  "" IMBALLAGGIO""",4.19
  ,"          NEST  "" TAGLIO / NESTING""",3.38
  ,"          PIEG  "" PIEGATURA""",5.84
  ,"          PROD  "" PRODUZIONE""",0.84
  ,"          PROG  "" PROGETTAZIONE""",9.24
  ,"          SALD  "" SALDATURA""",3.26
  ,"     25/808  ""ARE SRL""",67.87
  ,"          IMBA  "" IMBALLAGGIO""",13.29
  ,"          NEST  "" TAGLIO / NESTING""",4.41
  ,"          PIEG  "" PIEGATURA""",9.59
  ,"          PROD  "" PRODUZIONE""",2.56
  ,"          PROG  "" PROGETTAZIONE""",31.23
  ,"          SALD  "" SALDATURA""",6.79
  ,"     25/809  ""ARE SRL""",34.59
  ,"          IMBA  "" IMBALLAGGIO""",3.07
  ,"          NEST  "" TAGLIO / NESTING""",2.46
  ,"          PIEG  "" PIEGATURA""",10.73
  ,"          PROD  "" PRODUZIONE""",1.7
  ,"          PROG  "" PROGETTAZIONE""",12.1
  ,"          SALD  "" SALDATURA""",4.53
  ,"     25/810  ""ARE SRL""",38.33
  ,"          IMBA  "" IMBALLAGGIO""",6.83
  ,"          NEST  "" TAGLIO / NESTING""",5.93
  ,"          PIEG  "" PIEGATURA""",4.52
  ,"          PROD  "" PRODUZIONE""",0.96
  ,"          PROG  "" PROGETTAZIONE""",14.87
  ,"          SALD  "" SALDATURA""",5.22
  ,"     25/811  ""ARE SRL""",38.07
  ,"          IMBA  "" IMBALLAGGIO""",6.23
  ,"          NEST  "" TAGLIO / NESTING""",5.67
  ,"          PIEG  "" PIEGATURA""",11.21
  ,"          PROD  "" PRODUZIONE""",1.12
  ,"          PROG  "" PROGETTAZIONE""",8.92
  ,"          SALD  "" SALDATURA""",4.92
  ,"     25/812  ""ARE SRL""",43.01
  ,"          IMBA  "" IMBALLAGGIO""",8.81
  ,"          NEST  "" TAGLIO / NESTING""",6.52
  ,"          PIEG  "" PIEGATURA""",7.17
  ,"          PROD  "" PRODUZIONE""",1.09
  ,"          PROG  "" PROGETTAZIONE""",10.56
  ,"          SALD  "" SALDATURA""",8.86
  ,"     25/813  ""LGM ELEVATOR SRL""",31.85
  ,"          IMBA  "" IMBALLAGGIO""",6.0
  ,"          NEST  "" TAGLIO / NESTING""",2.55
  ,"          PIEG  "" PIEGATURA""",8.73
  ,"          PROD  "" PRODUZIONE""",0.91
