Nr. Commessa,"IMBA  "" IMBALLAGGIO""","NEST  "" TAGLIO / NESTING""","PIEG  "" PIEGATURA""","PROD  "" PRODUZIONE""","PROG  "" PROGETTAZIONE""","SALD  "" SALDATURA""",Totale Ore
"25/203  ""ARE SRL""",9.64,5.83,10.02,,11.27,1.03,37.79
"25/204  ""ARE SRL""",7.18,2.88,11.87,,39.92,2.29,64.14
"25/205  ""ARE SRL""",8.97,2.13,13.76,,7.28,4.95,37.09
"25/206  ""ARE SRL""",12.18,6.93,9.91,,10.44,,39.46
"25/207  ""RIAM ASCENSORI SRL""",2.67,0.95,3.25,,,,6.87
"25/208  ""USAPI SRL""",15.36,6.49,13.69,,0.8,,36.34
"25/209  ""VALMET TISSUE CONVERTING SPA""",0.07,,,,1.37,,1.44
"25/210  ""BULGHERINI MC""",14.31,12.99,16.87,,8.76,9.31,62.24
"25/211  ""BULGHERINI MC""",19.11,5.99,12.86,,26.83,4.62,69.41
"25/212  ""SAT SRL""",0.22,,1.18,,,0.53,1.93
"25/213  ""VIMA ASCENSORI SRL""",0.05,,,,0.48,,0.53
"25/214  ""ARE SRL""",4.43,2.15,1.1,,1.05,,8.73
"25/215  ""AMMAR SRL""",7.31,9.93,12.89,,11.2,4.28,45.61
"25/217  ""SELE LIFT SRL""",6.14,3.38,7.38,,6.23,0.93,24.06
"25/218  ""CENTER LIFT SRL""",6.84,4.87,9.92,,7.2,5.35,34.18
"25/219  ""CENTER LIFT SRL""",9.23,5.05,10.75,0.32,4.01,,29.36
"25/220  ""MBB ASCENSORI SRL""",1.21,0.55,1.94,,,,3.7
"25/221  ""TRR SOLUTIONS SRL""",2.55,1.35,1.18,,1.25,11.72,18.05
"25/223  ""AMMAR SRL""",8.71,9.04,10.68,,6.86,3.71,39.0
"25/224  ""CENTER LIFT SRL""",2.43,7.34,9.4,,4.65,9.16,32.98
"25/225  ""ARE SRL""",7.44,4.92,12.06,,2.03,3.92,30.37
"25/226  ""ARE SRL""",9.12,5.25,13.47,,6.3,0.68,34.82
"25/227  ""ARE SRL""",9.47,4.75,9.12,,32.06,2.56,57.96
"25/228  ""MAM SRL""",21.2,29.45,28.67,,9.21,5.76,94.29
"25/229  ""VIMA ASCENSORI SRL""",1.88,1.8,6.9,,2.97,1.53,15.08
"25/230  ""LUX IMPIANTI""",10.73,6.2,13.25,,5.41,4.52,40.11
"25/231  ""BULGHERINI PU""",11.36,6.0,20.26,0.57,11.89,10.43,60.51
"25/232  ""BULGHERINI PU""",6.66,5.2,16.79,,6.08,2.68,37.41
"25/233  ""AMMAR SRL""",10.69,7.24,7.44,,5.98,6.26,37.61
"25/234  ""SCHINDLER SPA""",1.44,0.61,1.43,,,,3.48
"25/235  ""VITALI ASCENSORI SRL""",5.98,2.91,8.18,,11.82,7.14,36.03
"25/237  ""ARE SRL""",7.72,8.33,16.28,,5.65,4.86,42.84
"25/238  ""ARE SRL""",3.42,3.68,12.44,,5.3,3.13,27.97
"25/239  ""ARE SRL""",10.6,4.02,15.51,,8.89,4.05,43.07
"25/241  ""ARE SRL""",8.53,7.48,13.97,,49.31,3.43,82.72
"25/242  ""CORAL""",0.36,,,,5.31,19.56,25.23
"25/243  ""E4 SRL""",21.71,5.06,7.04,,1.86,5.58,41.25
"25/244  ""ARE SRL""",17.8,11.69,13.17,,6.62,4.2,53.48
"25/245  ""ARE SRL""",7.67,4.57,17.84,,4.03,4.28,38.39
"25/246  ""ARE SRL""",6.68,7.07,21.3,,7.31,7.29,49.65
"25/248  ""ITAL LIFT SOLUTIONS SRL""",9.45,3.8,12.16,,14.76,2.48,42.65
"25/249  ""RIAM ASCENSORI SRL""",2.38,0.59,0.83,,,,3.8
"25/250  ""CONDOMINIO SINN""",10.34,8.49,17.35,,28.26,14.21,78.65
"25/251  ""RIAM ASCENSORI SRL""",,0.38,2.12,,,,2.5
"25/252  ""LSR-TECH""",0.22,2.58,,,0.48,,3.28
"25/253  ""CORAL""",238.91,16.08,41.35,10.53,258.11,127.28,692.26
